storeNo,storeNoName,longitude,latitude,countryRegion
619,619 EP JÅTTÅ,5.71905,58.91426,Vestlandet
616,616 EP SELBU,11.03491,63.22211,Trøndelag
448,448 EP SOLHEIMSVIKEN - utgått,5.33839,60.3759,Vestlandet
621,621 EP FRØYA,8.8189,63.7045,Trøndelag
626,626 EP LAGUNEN,5.32952,60.29555,Vestlandet
623,623 EP FJELLHAMAR,10.97964,59.94107,Østlandet
622,622 EP SETERMOEN,18.35714,68.87701,Nord-Norge
624,624 EP ENSJØ,10.78817,59.91456,Østlandet
625,625 EP NITTEDAL,10.8839,60.05084,Østlandet
628,628 EP FROLAND,8.645,58.49697,Sørlandet
629,629 EP GRENSEN CITY,10.74319,59.91394,Østlandet
998,998 EP 998 52POS,"","",""
630,630 EP DOMBÅS,9.12724,62.07429,Østlandet
431,431 EP MIDTUN,5.36485,60.32143,Vestlandet
631,631 EP HAMAR,11.11649,60.79949,Østlandet
633,633 EP TRIADEN,10.95353,59.91861,Østlandet
634,634 EP CC DRAMMEN,10.22278,59.74123,Østlandet
635,635 EP ROGNAN,15.41147,67.10153,Nord-Norge
641,641 EP GULSKOGEN,10.15797,59.74253,Østlandet
637,637 EP ASKER,"","",Østlandet
639,639 EP GRIM,7.97886,58.14833,Sørlandet
638,638 EP FRITZØE BRYGGE,"","",Østlandet
075,075 EP HAMAR - utgått,"","",Østlandet
076,076 EP KRAGERØ,9.36891,58.87311,Østlandet
077,077 EP NOTODDEN,9.21626,59.5661,Østlandet
079,079 EP SANDNESSJØEN,12.64243,66.01729,Nord-Norge
416,416 EP STAKKEVOLL,18.9708,69.66598,Nord-Norge
083,083 EP MOSS - utgått,"","",Østlandet
579,579 EP FØRDE,5.84409,61.45671,Vestlandet
605,605 EP SORTLAND,15.40116,68.7199,Nord-Norge
089,089 EP KNARVIK,5.28661,60.5481,Vestlandet
375,375 EP NAMSOS,11.50992,64.47467,Trøndelag
439,439 EP BØ,9.05834,59.41535,Østlandet
429,429 EP FYLLINGSDALEN,5.27783,60.3509,Vestlandet
440,440 EP SANDEFJORD,10.23865,59.13971,Østlandet
441,441 EP NANSET,10.0626,59.08085,Østlandet
388,388 EP ASKIM,11.16639,59.58522,Østlandet
337,337 EP NORÅS FANA - utgått,5.32568,60.3087,Vestlandet
113,113 EP TILLER - utgått,"","",Trøndelag
116,116 EP STEINKJER - utgått,"","",Trøndelag
